============ Train epoch 1 ============
 client 3| Loss: 0.3504 | Test  Acc: 0.8999
 server  | Loss: 0.3662 | Test  Acc: 0.9845============ Train epoch 43 ============
 client 0| Loss: 0.3843 | Test  Acc: 0.9783
 client 1| Loss: 0.3663 | Test  Acc: 0.9788
 client 2| Loss: 0.3763 | Test  Acc: 0.7330
 client 3| Loss: 0.3148 | Test  Acc: 0.8927
 server  | Loss: 0.3662 | Test  Acc: 0.9845============ Train epoch 44 ============
 client 0| Loss: 0.3733 | Test  Acc: 0.9784
 client 1| Loss: 0.3345 | Test  Acc: 0.9800
 client 2| Loss: 0.3601 | Test  Acc: 0.6909
 client 3| Loss: 0.3533 | Test  Acc: 0.8987
 server  | Loss: 0.3662 | Test  Acc: 0.9845============ Train epoch 45 ============
 client 0| Loss: 0.3779 | Test  Acc: 0.9839
 client 1| Loss: 0.3646 | Test  Acc: 0.9814
 client 2| Loss: 0.3789 | Test  Acc: 0.7579
 client 3| Loss: 0.3116 | Test  Acc: 0.8964
 server  | Loss: 0.3662 | Test  Acc: 0.9845============ Train epoch 46 ============
 client 0| Loss: 0.3823 | Test  Acc: 0.9768
 client 1| Loss: 0.3269 | Test  Acc: 0.9791
 client 2| Loss: 0.3576 | Test  Acc: 0.7021
 client 3| Loss: 0.3529 | Test  Acc: 0.9071
 server  | Loss: 0.3662 | Test  Acc: 0.9845============ Train epoch 47 ============
 client 0| Loss: 0.3829 | Test  Acc: 0.9831
 client 1| Loss: 0.3529 | Test  Acc: 0.9789
 client 2| Loss: 0.3797 | Test  Acc: 0.7305
 client 3| Loss: 0.3175 | Test  Acc: 0.9049
 server  | Loss: 0.3662 | Test  Acc: 0.9845============ Train epoch 48 ============
 client 0| Loss: 0.3901 | Test  Acc: 0.9828
 client 1| Loss: 0.3289 | Test  Acc: 0.9785
 client 2| Loss: 0.3584 | Test  Acc: 0.7022
 client 3| Loss: 0.3524 | Test  Acc: 0.8995
 server  | Loss: 0.3662 | Test  Acc: 0.9845============ Train epoch 49 ============
 client 0| Loss: 0.3815 | Test  Acc: 0.9795
 client 1| Loss: 0.3513 | Test  Acc: 0.9778
 client 2| Loss: 0.3806 | Test  Acc: 0.7749
 client 3| Loss: 0.3236 | Test  Acc: 0.8905
 server  | Loss: 0.3662 | Test  Acc: 0.9845============ Train epoch 50 ============
 client 0| Loss: 0.4013 | Test  Acc: 0.9831
 client 1| Loss: 0.3370 | Test  Acc: 0.9765
 client 2| Loss: 0.3557 | Test  Acc: 0.6811
 client 3| Loss: 0.3476 | Test  Acc: 0.9081
 server  | Loss: 0.3662 | Test  Acc: 0.9845
